Real,Regressão Linear,Random Forest,Gradient Boosting,XGBoost,Erro Percentual Reg. Linear,Erro Percentual RF,Erro Percentual GB,Erro Percentual XGB
1928.0,3624.3125,3720.18,3136.390423939864,3239.5244,0.8798301348547718,0.9295539419087137,0.6267585186410083,0.6802512521071058
2384.0,6214.0625,4266.69,4295.221497014688,4395.1704,1.6065698406040267,0.7897189597315435,0.801686869553141,0.843611749226615
1244.0,400.6875,904.25,1095.1869549658468,714.8404,0.6779039389067524,0.27311093247588425,0.11962463427182735,0.4253694589498342
3331.0,2474.8125,2336.02,2687.7245005927866,2509.2495,0.25703617532272593,0.2987030921645152,0.19311783230477736,0.2466978349688532
1597.0,2804.8125,2163.19,2090.0512364487427,1570.0391,0.7563008766437069,0.35453350031308706,0.3087359025978351,0.016882240137758298
3863.0,5527.0625,4523.81,4723.196684958847,4613.047,0.430769479679006,0.17106135128138764,0.22267581800643207,0.1941617589955993
709.0,329.0625,1283.0,1325.2046506492852,559.4443,0.5358779971791255,0.8095909732016925,0.8691179839905292,0.2109389634663699
802.0,1206.3125,1463.36,1299.5984347169476,1509.4006,0.5041302992518704,0.8246384039900249,0.6204469260809821,0.882045679258884
1736.0,855.8125,1738.72,1266.4664018312617,1052.8394,0.5070204493087558,0.0015668202764977115,0.2704686625395958,0.39352571689588134
662.0,1101.5625,1327.49,1568.163409766541,1005.5815,0.6639916918429003,1.0052719033232629,1.3688269029706057,0.5190052597184196
783.0,2377.0625,3215.59,2674.8914090166086,2241.8713,2.035839719029374,3.106756066411239,2.41620869606208,1.8631817853009258
1835.0,2469.8125,2436.19,2799.377418792932,3208.7295,0.3459468664850136,0.3276239782016349,0.5255462772713526,0.748626426260218
932.0,2155.5625,3358.7,2626.372327934133,2679.3555,1.3128353004291846,2.603755364806867,1.8179960600151641,1.8748449235515021
1374.0,2597.8125,2349.98,2844.6431573024724,1736.2017,0.8906932314410481,0.7103202328966521,1.0703370868285826,0.2636111063728166
1164.0,5454.0625,2940.98,3029.6451853528492,1369.1007,3.685620704467354,1.526615120274914,1.6027879599251282,0.17620335739502793
6143.0,6371.5625,6511.53,8190.301681941838,7604.392,0.037206983558521894,0.059991860654403345,0.33327391859707606,0.2378955054279261
1204.0,2300.5625,2615.85,1604.8029416746567,2001.3259,0.910766196013289,1.1726328903654484,0.33289280869988097,0.6622308369886836
433.0,-342.4375,1151.15,491.4638311284804,786.67004,1.7908487297921478,1.6585450346420325,0.13502039521589013,0.8167899398275116
1574.0,914.4375,1369.01,1355.0572187330483,1268.2842,0.4190358958068615,0.13023506988564168,0.13909960690403536,0.1942286024857052
5800.0,6471.1875,6973.39,6242.137301677457,5325.7236,0.1157219827586207,0.20230862068965522,0.07623056925473394,0.0817717874461207
3161.0,2750.9375,2234.47,2388.405445880905,2436.156,0.12972556153116102,0.2931129389433724,0.24441460111328533,0.22930844484043816
907.0,1005.8125,1531.5,1370.9068426762444,586.6143,0.10894432194046307,0.6885336273428887,0.5114739169528605,0.35323669366300303
3447.0,-1356.8125,1145.77,761.1701046878472,603.94775,1.393621264868001,0.6676037133739484,0.7791789658578918,0.8247903237869887
2712.0,5275.3125,6403.5,6531.681890295557,5574.48,0.9451742256637168,1.3611725663716814,1.4084372751827277,1.0554867184619285
1938.0,2410.5625,2375.02,1492.195623199618,2399.703,0.24384029927760578,0.22550051599587204,0.2300332181632518,0.23823678062919246
1851.0,2510.5625,2114.22,1957.393473442858,1635.7471,0.356327660723933,0.14220421393841157,0.057478915960485176,0.11629007546596434
3512.0,5028.5625,4693.76,4462.236163594867,4754.516,0.4318230353075171,0.336492027334852,0.2705683837115226,0.3537916040094675
2427.0,2414.8125,2155.45,2224.4351878884327,1750.7491,0.005021631644004944,0.11188710341985998,0.08346304578144513,0.2786365284269417
1190.0,3253.0625,4187.18,3971.630344295747,3886.0974,1.7336659663865546,2.518638655462185,2.3375044910048293,2.265628077402836
1546.0,1686.0625,1635.11,1473.6423919746317,1119.6758,0.09059670116429495,0.05763906856403616,0.046803109977599185,0.27575952053686936
3017.0,3004.5625,2034.5,2337.016604930424,2714.2324,0.0041224726549552535,0.3256546237984753,0.22538395593953467,0.10035385420119323
276.0,88.5625,1182.52,1783.3184163485064,1771.7345,0.6791213768115942,3.2844927536231885,5.461298609958357,5.419327887935915
926.0,2659.3125,4059.0,2679.4417674241313,3997.8271,1.8718277537796977,3.3833693304535637,1.8935656235681764,3.3173079356776456
1391.0,1716.5625,1710.39,1512.8817252602641,466.32327,0.234049245147376,0.22961179007907986,0.08762165726834231,0.6647568132961337
